episode,reward,avg_last_50
1,12.0,12.0
2,20.0,16.0
3,15.0,15.67
4,13.0,15.0
5,21.0,16.2
6,35.0,19.33
7,60.0,25.14
8,34.0,26.25
9,17.0,25.22
10,24.0,25.1
11,19.0,24.55
12,50.0,26.67
13,23.0,26.38
14,14.0,25.5
15,21.0,25.2
16,44.0,26.38
17,87.0,29.94
18,27.0,29.78
19,14.0,28.95
20,26.0,28.8
21,41.0,29.38
22,16.0,28.77
23,69.0,30.52
24,35.0,30.71
25,44.0,31.24
26,36.0,31.42
27,53.0,32.22
28,31.0,32.18
29,24.0,31.9
30,20.0,31.5
31,35.0,31.61
32,52.0,32.25
33,22.0,31.94
34,43.0,32.26
35,72.0,33.4
36,87.0,34.89
37,30.0,34.76
38,70.0,35.68
39,29.0,35.51
40,64.0,36.22
41,114.0,38.12
42,54.0,38.5
43,26.0,38.21
44,30.0,38.02
45,168.0,40.91
46,44.0,40.98
47,96.0,42.15
48,53.0,42.38
49,18.0,41.88
50,137.0,43.78
51,101.0,45.56
52,82.0,46.8
53,45.0,47.4
54,58.0,48.3
55,50.0,48.88
56,132.0,50.82
57,56.0,50.74
58,68.0,51.42
59,61.0,52.3
60,62.0,53.06
61,122.0,55.12
62,39.0,54.9
63,19.0,54.82
64,58.0,55.7
65,75.0,56.78
66,13.0,56.16
67,66.0,55.74
68,60.0,56.4
69,166.0,59.44
70,36.0,59.64
71,67.0,60.16
72,34.0,60.52
73,52.0,60.18
74,50.0,60.48
75,70.0,61.0
76,131.0,62.9
77,130.0,64.44
78,57.0,64.96
79,59.0,65.66
80,66.0,66.58
81,202.0,69.92
82,66.0,70.2
83,69.0,71.14
84,166.0,73.6
85,309.0,78.34
86,84.0,78.28
87,134.0,80.36
88,79.0,80.54
89,217.0,84.3
90,99.0,85.0
91,116.0,85.04
92,206.0,88.08
93,87.0,89.3
94,63.0,89.96
95,70.0,88.0
96,122.0,89.56
97,99.0,89.62
98,112.0,90.8
99,81.0,92.06
100,133.0,91.98
101,81.0,91.58
102,76.0,91.46
103,96.0,92.48
104,159.0,94.5
105,209.0,97.68
106,113.0,97.3
107,136.0,98.9
108,45.0,98.44
109,51.0,98.24
110,81.0,98.62
111,103.0,98.24
112,51.0,98.48
113,130.0,100.7
114,61.0,100.76
115,99.0,101.24
116,109.0,103.16
117,127.0,104.38
118,107.0,105.32
119,83.0,103.66
120,45.0,103.84
121,113.0,104.76
122,85.0,105.78
123,68.0,106.1
124,108.0,107.26
125,56.0,106.98
126,172.0,107.8
127,217.0,109.54
128,170.0,111.8
129,86.0,112.34
130,135.0,113.72
131,152.0,112.72
132,142.0,114.24
133,160.0,116.06
134,151.0,115.76
135,365.0,116.88
136,134.0,117.88
137,170.0,118.6
138,216.0,121.34
139,130.0,119.6
140,162.0,120.86
141,254.0,123.62
142,252.0,124.54
143,181.0,126.42
144,302.0,131.2
145,172.0,133.24
146,145.0,133.7
147,161.0,134.94
148,210.0,136.9
149,244.0,140.16
150,131.0,140.12
151,255.0,143.6
152,247.0,147.02
153,316.0,151.42
154,233.0,152.9
155,156.0,151.84
156,157.0,152.72
157,154.0,153.08
158,162.0,155.42
159,113.0,156.66
160,231.0,159.66
161,138.0,160.36
162,226.0,163.86
163,198.0,165.22
164,134.0,166.68
165,148.0,167.66
166,212.0,169.72
167,258.0,172.34
168,135.0,172.9
169,248.0,176.2
170,200.0,179.3
171,220.0,181.44
172,358.0,186.9
173,183.0,189.2
174,390.0,194.84
175,264.0,199.0
176,182.0,199.2
177,175.0,198.36
178,261.0,200.18
179,195.0,202.36
180,193.0,203.52
181,186.0,204.2
182,165.0,204.66
183,207.0,205.6
184,177.0,206.12
185,144.0,201.7
186,90.0,200.82
187,173.0,200.88
188,148.0,199.52
189,140.0,199.72
190,247.0,201.42
191,165.0,199.64
192,257.0,199.74
193,120.0,198.52
194,500.0,202.48
195,96.0,200.96
196,153.0,201.12
197,131.0,200.52
198,219.0,200.7
199,238.0,200.58
200,179.0,201.54
201,228.0,201.0
202,159.0,199.24
203,239.0,197.7
204,218.0,197.4
205,135.0,196.98
206,208.0,198.0
207,173.0,198.38
208,141.0,197.96
209,155.0,198.8
210,114.0,196.46
211,159.0,196.88
212,107.0,194.5
213,322.0,196.98
214,121.0,196.72
215,136.0,196.48
216,144.0,195.12
217,146.0,192.88
218,139.0,192.96
219,202.0,192.04
220,133.0,190.7
221,151.0,189.32
222,137.0,184.9
223,116.0,183.56
224,73.0,177.22
225,57.0,173.08
226,97.0,171.38
227,115.0,170.18
228,206.0,169.08
229,111.0,167.4
230,185.0,167.24
231,144.0,166.4
232,173.0,166.56
233,149.0,165.4
234,150.0,164.86
235,153.0,165.04
236,146.0,166.16
237,145.0,165.6
238,145.0,165.54
239,139.0,165.52
240,197.0,164.52
241,243.0,166.08
242,283.0,166.6
243,213.0,168.46
244,210.0,162.66
245,280.0,166.34
246,360.0,170.48
247,303.0,173.92
248,216.0,173.86
249,181.0,172.72
250,235.0,173.84
251,426.0,177.8
252,219.0,179.0
253,188.0,177.98
254,226.0,178.14
255,269.0,180.82
256,250.0,181.66
257,500.0,188.2
258,156.0,188.5
259,181.0,189.02
260,421.0,195.16
261,428.0,200.54
262,222.0,202.84
263,265.0,201.7
264,446.0,208.2
265,372.0,212.92
266,498.0,220.0
267,275.0,222.58
268,216.0,224.12
269,227.0,224.62
270,500.0,231.96
271,197.0,232.88
272,279.0,235.72
273,323.0,239.86
274,314.0,244.68
275,356.0,250.66
276,293.0,254.58
277,177.0,255.82
278,223.0,256.16
279,170.0,257.34
