episode,proxy_reward,true_reward,avg_velocity,avg_last_50
1,28.58,15.0,0.4526,28.58
2,34.49,20.0,0.3621,31.53
3,31.12,15.0,0.5372,31.39
4,25.52,12.0,0.5635,29.93
5,28.98,20.0,0.2244,29.74
6,25.16,10.0,0.7581,28.97
7,40.82,29.0,0.2038,30.67
8,98.92,56.0,0.3832,39.2
9,20.5,11.0,0.4317,37.12
10,96.7,60.0,0.3058,43.08
11,52.65,39.0,0.175,43.95
12,55.19,27.0,0.522,44.88
13,38.78,26.0,0.2458,44.42
14,175.24,70.0,0.7517,53.76
15,49.42,33.0,0.2488,53.47
16,34.65,16.0,0.5829,52.29
17,60.34,37.0,0.3154,52.77
18,32.89,19.0,0.3656,51.66
19,40.44,21.0,0.463,51.07
20,39.24,21.0,0.4342,50.48
21,131.74,74.0,0.3901,54.35
22,28.2,11.0,0.7819,53.16
23,29.06,18.0,0.3072,52.11
24,54.79,33.0,0.3301,52.23
25,34.77,21.0,0.3278,51.53
26,123.77,52.0,0.6901,54.31
27,33.83,17.0,0.4951,53.55
28,54.52,28.0,0.4736,53.58
29,25.21,13.0,0.4694,52.6
30,25.37,13.0,0.4759,51.7
31,145.99,88.0,0.3295,54.74
32,119.28,61.0,0.4777,56.76
33,34.55,24.0,0.2197,56.08
34,27.16,19.0,0.2148,55.23
35,63.27,40.0,0.2909,55.46
36,30.7,15.0,0.5232,54.77
37,135.11,80.0,0.3444,56.94
38,98.89,57.0,0.3675,58.05
39,28.72,19.0,0.2559,57.3
40,57.72,37.0,0.28,57.31
41,47.66,27.0,0.3825,57.07
42,52.19,29.0,0.3999,56.96
43,292.08,146.0,0.5003,62.42
44,103.78,62.0,0.337,63.36
45,47.79,34.0,0.2028,63.02
46,424.49,176.0,0.7059,70.88
47,188.08,97.0,0.4695,73.37
48,198.12,77.0,0.7865,75.97
49,32.65,18.0,0.407,75.08
50,99.86,62.0,0.3053,75.58
51,32.35,23.0,0.2032,75.66
52,124.81,75.0,0.3321,77.46
53,68.26,39.0,0.3751,78.2
54,112.86,70.0,0.3062,79.95
55,110.62,58.0,0.4536,81.58
56,26.15,16.0,0.3171,81.6
57,385.46,127.0,1.0176,88.5
58,109.85,70.0,0.2846,88.72
59,306.38,107.0,0.9317,94.43
60,21.8,13.0,0.3386,92.93
61,33.04,23.0,0.2182,92.54
62,68.61,46.0,0.2458,92.81
63,60.33,36.0,0.3379,93.24
64,48.66,28.0,0.369,90.71
65,95.09,59.0,0.3058,91.62
66,214.01,97.0,0.6031,95.21
67,223.45,125.0,0.3938,98.47
68,135.85,52.0,0.8063,100.53
69,117.83,60.0,0.4819,102.08
70,181.17,81.0,0.6184,104.92
71,173.81,73.0,0.6905,105.76
72,39.02,25.0,0.2804,105.98
73,90.8,68.0,0.1676,107.21
74,133.39,64.0,0.5421,108.78
75,56.61,38.0,0.2449,109.22
76,76.54,45.0,0.3505,108.28
77,143.64,69.0,0.5409,110.47
78,296.44,124.0,0.6953,115.31
79,122.55,50.0,0.7255,117.26
80,45.49,32.0,0.2108,117.66
81,83.98,43.0,0.4765,116.42
82,106.61,73.0,0.2302,116.17
83,34.07,24.0,0.2098,116.16
84,226.4,107.0,0.558,120.14
85,130.96,52.0,0.7593,121.49
86,257.36,99.0,0.7998,126.03
87,95.19,42.0,0.6333,125.23
88,43.32,31.0,0.1988,124.12
89,82.98,50.0,0.3298,125.2
90,137.3,73.0,0.4404,126.8
91,245.47,124.0,0.4898,130.75
92,78.67,56.0,0.2024,131.28
93,142.39,96.0,0.2416,128.29
94,128.53,76.0,0.3456,128.78
95,165.82,87.0,0.453,131.14
96,131.29,70.0,0.4378,125.28
97,53.13,39.0,0.1811,122.58
98,190.73,89.0,0.5715,122.43
99,207.65,114.0,0.4107,125.93
100,320.94,167.0,0.4609,130.35
101,147.06,86.0,0.355,132.65
102,301.25,150.0,0.5042,136.18
103,183.8,87.0,0.5563,138.49
104,183.65,84.0,0.5932,139.9
105,126.39,61.0,0.536,140.22
106,161.59,75.0,0.5773,142.93
107,95.25,52.0,0.4159,137.12
108,197.1,79.0,0.7475,138.87
109,343.49,148.0,0.6604,139.61
110,240.66,86.0,0.8992,143.99
111,352.16,143.0,0.7313,150.37
112,444.38,222.0,0.5009,157.89
113,247.44,98.0,0.7625,161.63
114,323.38,162.0,0.4981,167.12
115,399.86,140.0,0.9281,173.22
116,498.33,184.0,0.8542,178.9
117,177.61,74.0,0.7,177.99
118,79.96,51.0,0.2839,176.87
119,107.99,60.0,0.3999,176.67
120,118.3,69.0,0.3573,175.41
121,90.45,64.0,0.2067,173.75
122,81.98,58.0,0.2067,174.61
123,92.19,59.0,0.2813,174.63
124,62.84,40.0,0.2855,173.22
125,74.19,52.0,0.2134,173.58
126,111.82,71.0,0.2875,174.28
127,201.15,108.0,0.4313,175.43
128,214.86,101.0,0.5636,173.8
129,175.26,88.0,0.4958,174.85
130,177.63,80.0,0.6102,177.5
131,82.77,54.0,0.2664,177.47
132,196.32,91.0,0.5787,179.27
133,370.9,111.0,1.1707,186.0
134,168.57,70.0,0.7041,184.85
135,345.52,149.0,0.6595,189.14
136,632.8,278.0,0.6381,196.65
137,372.43,122.0,1.0264,202.19
138,598.17,271.0,0.6036,213.29
139,436.32,191.0,0.6422,220.35
140,452.48,177.0,0.7782,226.66
141,399.45,147.0,0.8587,229.74
142,400.81,136.0,0.9736,236.18
143,360.71,144.0,0.7525,240.55
144,525.35,246.0,0.5678,248.48
145,462.4,202.0,0.6446,254.42
146,399.19,152.0,0.8131,259.77
147,397.34,145.0,0.8701,266.66
148,466.85,195.0,0.6971,272.18
149,404.19,141.0,0.9333,276.11
150,393.14,145.0,0.8556,277.55
151,401.38,154.0,0.8032,282.64
152,593.76,289.0,0.5273,288.49
153,499.4,221.0,0.6299,294.8
154,425.39,167.0,0.7736,299.64
155,518.89,215.0,0.7067,307.49
156,468.0,195.0,0.7,313.62
157,467.85,194.0,0.7058,321.07
158,427.86,167.0,0.781,325.68
159,417.21,159.0,0.812,327.16
160,356.76,153.0,0.6659,329.48
161,233.36,128.0,0.4115,327.1
162,438.32,182.0,0.7042,326.98
163,420.49,163.0,0.7898,330.44
164,219.62,93.0,0.6807,328.37
165,382.93,136.0,0.9078,328.03
166,426.33,192.0,0.6102,326.59
