episode,proxy_reward,true_reward,avg_angle,avg_position,avg_last_50
1,247.43,25.0,0.04054,0.0432,247.43
2,140.72,19.0,0.0841,0.0621,194.07
3,191.54,25.0,0.07954,0.0192,193.23
4,75.58,17.0,0.13639,0.0597,163.82
5,158.68,19.0,0.06772,0.064,162.79
6,117.25,17.0,0.09478,0.0188,155.2
7,263.06,28.0,0.05028,0.0429,170.61
8,265.5,29.0,0.0539,0.0195,182.47
9,119.35,14.0,0.06503,0.0393,175.46
10,130.04,18.0,0.08858,0.0507,170.92
11,132.91,18.0,0.08464,0.1104,167.46
12,61.99,12.0,0.1249,0.0476,158.67
13,295.45,33.0,0.05698,0.0319,169.19
14,284.26,45.0,0.10281,0.046,177.41
15,57.69,10.0,0.11418,0.0424,169.43
16,234.93,25.0,0.04894,0.0316,173.52
17,196.56,23.0,0.06459,0.0529,174.88
18,153.25,22.0,0.09184,0.0191,173.68
19,145.18,19.0,0.07999,0.0392,172.18
20,110.88,14.0,0.07565,0.0385,169.11
21,160.4,21.0,0.07981,0.0931,168.7
22,189.42,26.0,0.0859,0.0938,169.64
23,590.76,61.0,0.04423,0.0263,187.95
24,236.94,33.0,0.08778,0.0227,189.99
25,235.03,39.0,0.10791,0.0287,191.79
26,251.01,34.0,0.08411,0.0226,194.07
27,166.34,23.0,0.08707,0.0905,193.04
28,149.62,25.0,0.10874,0.0517,191.49
29,189.93,25.0,0.08042,0.0404,191.44
30,127.5,19.0,0.09612,0.0826,189.31
31,89.82,16.0,0.11549,0.0281,186.1
32,259.2,38.0,0.094,0.1266,188.38
33,70.84,13.0,0.11805,0.027,184.82
34,411.58,46.0,0.05702,0.0848,191.49
35,236.18,29.0,0.0709,0.0252,192.77
36,817.51,90.0,0.05449,0.1919,210.12
37,63.57,10.0,0.10337,0.0394,206.16
38,191.21,25.0,0.08107,0.0845,205.77
39,170.93,21.0,0.0712,0.0612,204.87
40,242.9,40.0,0.107,0.0461,205.82
41,836.92,112.0,0.08261,0.4943,221.22
42,154.47,18.0,0.06328,0.0558,219.63
43,332.56,38.0,0.06033,0.0219,222.25
44,757.29,83.0,0.0538,0.0771,234.41
45,1052.04,123.0,0.06368,0.2029,252.58
46,307.81,43.0,0.08807,0.0477,253.78
47,392.57,64.0,0.10596,0.0873,256.74
48,221.87,25.0,0.05868,0.0801,256.01
49,201.41,39.0,0.12292,0.0388,254.9
50,236.25,26.0,0.05504,0.031,254.52
51,201.75,28.0,0.08735,0.0316,253.61
52,591.46,68.0,0.06135,0.0914,262.62
53,239.0,29.0,0.06912,0.0446,263.57
54,224.54,29.0,0.07814,0.0342,266.55
55,97.21,23.0,0.13939,0.096,265.32
56,421.35,53.0,0.07443,0.0231,271.4
57,239.51,37.0,0.10051,0.0349,270.93
58,192.45,28.0,0.09321,0.0527,269.47
